City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
119,cidreira,-30.1811,-50.2056,21.18,91,0,2.49,BR,1729639443
120,lubango,-14.9172,13.4925,21.92,26,17,4.12,AO,1729639525
121,kalemie,-5.9475,29.1947,23.54,69,33,1.63,CD,1729639574
122,jeannette,40.3281,-79.6153,22.14,61,0,0.0,US,1729639575
123,remire-montjoly,4.9167,-52.2667,28.02,74,0,2.06,GF,1729639576
124,cooma,-36.2333,149.1333,19.63,41,99,3.18,AU,1729639578
125,mangalia,43.8,28.5833,12.47,74,13,2.52,RO,1729639579
126,niel,51.11,4.3362,11.23,96,75,2.2,BE,1729639580
127,college,64.8569,-147.8028,2.26,85,100,4.12,US,1729639581
128,villa ojo de agua,-29.5,-63.6938,21.14,85,65,4.44,AR,1729639582
129,afaahiti,-17.75,-149.2833,24.83,86,78,7.04,PF,1729639393
130,srednebelaya,50.6594,128.0106,-4.49,62,6,2.16,RU,1729639585
131,worland,44.0169,-107.9554,13.83,45,0,3.13,US,1729639586
132,ma'rib,15.4591,45.3253,25.9,32,10,1.8,YE,1729639587
133,happy valley-goose bay,53.3168,-60.3315,2.17,69,20,4.63,CA,1729639337
134,nguigmi,14.2495,13.1092,29.54,19,87,4.74,NE,1729639589
135,cockburn town,21.4612,-71.1419,28.92,73,8,3.21,TC,1729639524
136,kupang,-10.1667,123.5833,28.32,94,20,1.03,ID,1729639591
137,san antonio de pale,-1.4014,5.6325,25.27,81,59,5.66,GQ,1729639593
138,peace river,56.2501,-117.286,4.17,70,75,6.17,CA,1729639594
139,petropavlovsk-kamchatsky,53.0452,158.6483,8.33,76,75,1.0,RU,1729639595
140,yermentau,51.6214,73.1069,6.31,82,99,5.63,KZ,1729639596
141,klyuchi,52.2667,79.1667,2.3,89,95,1.2,RU,1729639597
142,ta`u,-14.2336,-169.5144,26.95,83,44,8.92,AS,1729639599
143,dunedin,-45.8742,170.5036,19.66,54,99,3.07,NZ,1729639601
